K Value,SSE,Cluster Sizes
1,3555.438792840352,Cluster sizes for k=1
 , ,1: 3199tweets
2,3328.6984261529396,Cluster sizes for k=2
 , ,2: 1926tweets
 , ,2: 1273tweets
3,3235.5936233921916,Cluster sizes for k=3
 , ,3: 1465tweets
 , ,3: 1196tweets
 , ,3: 538tweets
4,3174.498394289019,Cluster sizes for k=4
 , ,4: 1429tweets
 , ,4: 895tweets
 , ,4: 296tweets
 , ,4: 579tweets
5,3141.802702291394,Cluster sizes for k=5
 , ,5: 1287tweets
 , ,5: 862tweets
 , ,5: 269tweets
 , ,5: 514tweets
 , ,5: 267tweets
6,3147.697268835515,Cluster sizes for k=6
 , ,6: 1269tweets
 , ,6: 825tweets
 , ,6: 270tweets
 , ,6: 546tweets
 , ,6: 228tweets
 , ,6: 61tweets
7,3132.718092645516,Cluster sizes for k=7
 , ,7: 637tweets
 , ,7: 812tweets
 , ,7: 252tweets
 , ,7: 485tweets
 , ,7: 247tweets
 , ,7: 56tweets
 , ,7: 710tweets
8,3079.718081253487,Cluster sizes for k=8
 , ,8: 611tweets
 , ,8: 620tweets
 , ,8: 167tweets
 , ,8: 451tweets
 , ,8: 238tweets
 , ,8: 48tweets
 , ,8: 319tweets
 , ,8: 745tweets
9,3075.9215472242445,Cluster sizes for k=9
 , ,9: 599tweets
 , ,9: 618tweets
 , ,9: 166tweets
 , ,9: 443tweets
 , ,9: 224tweets
 , ,9: 46tweets
 , ,9: 319tweets
 , ,9: 586tweets
 , ,9: 198tweets
